City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,grytviken,-54.2811,-36.5092,-0.91,78,93,3.04,GS,1745433959
1,papao,-17.75,-149.55,27.82,76,57,9.33,PF,1745433960
2,bredasdorp,-34.5322,20.0403,15.23,86,0,2.89,ZA,1745433961
3,changji,44.0167,87.3167,16.44,36,0,3.0,CN,1745433962
4,mahibadhoo,3.7833,72.9667,29.36,71,97,4.68,MV,1745433964
5,ixtapa,20.7,-105.2,26.57,50,0,4.63,MX,1745433965
6,ribeira grande,38.5167,-28.7,18.22,77,40,6.69,PT,1745433966
7,lebu,-37.6167,-73.65,16.47,84,70,3.62,CL,1745433967
8,aleksandrovskoye,44.7142,43.0008,14.6,89,100,1.73,RU,1745433968
9,puerto natales,-51.7236,-72.4875,11.25,50,75,5.14,CL,1745433969
10,west island,-12.1568,96.8225,26.99,94,100,2.57,CC,1745433970
11,bakanas,44.8081,76.2772,15.05,61,99,4.41,KZ,1745433972
12,port-aux-francais,-49.35,70.2167,6.72,85,98,11.93,TF,1745433973
13,buzuluk,52.7807,52.2635,15.14,64,20,2.42,RU,1745433974
14,mandal,25.45,74.5667,28.78,7,0,4.34,IN,1745433975
15,thompson,55.7435,-97.8558,6.09,36,40,1.54,CA,1745433966
16,shelbyville,35.4834,-86.4603,26.68,64,40,4.12,US,1745433813
17,garissa,-0.4536,39.6401,24.96,87,100,7.7,KE,1745433979
18,saint-pierre,-21.3393,55.4781,25.82,73,20,2.06,RE,1745433980
19,college,64.8569,-147.8028,4.49,63,100,5.14,US,1745433981
20,adamstown,-25.066,-130.1015,24.48,79,100,4.33,PN,1745433982
21,edinburgh of the seven seas,-37.0676,-12.3116,18.7,88,79,9.7,SH,1745433983
22,luang prabang,19.8856,102.1347,24.77,73,26,0.64,LA,1745433984
23,vengurla,15.8667,73.6333,27.64,76,27,1.57,IN,1745433986
24,adrar,20.5022,-10.0711,34.88,12,95,5.92,MR,1745433987
25,margaret river,-33.95,115.0667,15.16,76,100,10.12,AU,1745433988
26,dudinka,69.4058,86.1778,-14.85,95,100,7.34,RU,1745433977
27,hawaiian paradise park,19.5933,-154.9731,27.63,70,75,3.6,US,1745433990
28,utrik,11.2278,169.8474,26.86,79,58,6.87,MH,1745433991
29,ushuaia,-54.8,-68.3,7.81,57,0,1.54,AR,1745433781
30,le port,-20.9373,55.2919,25.98,78,41,0.97,RE,1745433994
31,qaqortoq,60.7167,-46.0333,5.78,65,100,3.93,GL,1745433995
32,pisco,-13.7,-76.2167,22.23,78,13,4.63,PE,1745433996
33,alofi,-19.0595,-169.9187,23.94,83,20,2.57,NU,1745433997
34,puerto ayora,-0.7393,-90.3518,26.97,94,88,1.79,EC,1745433998
35,neiafu,-18.65,-173.9833,21.38,100,75,0.0,TO,1745434000
36,zhezqazghan,47.7833,67.7667,17.72,37,100,2.14,KZ,1745434001
37,waitangi,-43.9535,-176.5597,12.0,59,20,8.49,NZ,1745434002
38,clemencia,10.5665,-75.325,30.65,72,51,7.35,CO,1745434003
39,fort bragg,35.139,-79.006,26.49,73,79,2.7,US,1745434004
40,anadyr,64.75,177.4833,-5.72,73,100,7.0,RU,1745434006
41,thurso,58.5927,-3.5259,9.14,87,13,3.96,GB,1745434007
42,punta arenas,-53.15,-70.9167,7.06,70,0,4.63,CL,1745434008
43,thunder bay,48.4001,-89.3168,5.95,87,100,5.66,CA,1745434009
44,isafjordur,66.0755,-23.124,7.02,53,0,2.57,IS,1745434010
45,bella union,-30.2752,-57.6007,29.16,34,3,1.72,UY,1745434011
46,rokytne,51.2796,27.214,14.36,83,100,2.79,UA,1745434012
47,papatowai,-46.5619,169.4708,4.84,84,36,3.04,NZ,1745434014
48,bol'sherech'ye,56.0925,74.6272,0.36,67,10,3.5,RU,1745434015
49,luganville,-15.5333,167.1667,25.58,90,100,1.67,VU,1745433727
50,happy valley-goose bay,53.3168,-60.3315,8.17,36,75,5.14,CA,1745434017
51,ta`u,-14.2336,-169.5144,28.05,71,57,7.58,AS,1745434019
52,bereznik,62.8551,42.7072,1.82,98,100,0.25,RU,1745434022
53,tiksi,71.6872,128.8694,-7.49,95,67,2.73,RU,1745434023
54,ilulissat,69.2167,-51.1,-2.99,86,40,2.06,GL,1745434024
55,constantia,44.1833,28.65,11.5,81,0,2.8,RO,1745433846
56,saipan,15.1355,145.701,27.39,78,20,4.12,MP,1745434026
57,ulanhot,46.0833,122.0833,3.07,64,27,6.64,CN,1745434027
58,waddan,29.1614,16.139,23.74,28,100,3.45,LY,1745434028
59,san luis de la loma,17.2706,-100.8939,30.98,55,100,3.78,MX,1745434030
60,sainyabuli,19.25,101.75,25.59,67,76,0.62,LA,1745434032
61,beroroha,-21.6667,45.1667,25.05,62,0,1.82,MG,1745434033
62,klyuchi,52.2667,79.1667,9.61,71,100,6.03,RU,1745434034
63,longyearbyen,78.2186,15.6401,-12.09,67,75,3.09,SJ,1745434035
64,corner brook,48.9667,-57.9484,8.69,60,100,4.32,CA,1745434036
65,kurumkan,54.3,110.3,-4.08,65,8,1.28,RU,1745434038
66,hermanus,-34.4187,19.2345,16.56,79,2,4.52,ZA,1745434039
67,mengcheng chengguanzhen,33.2661,116.566,17.53,53,100,3.15,CN,1745434040
68,petropavlovsk-kamchatsky,53.0452,158.6483,2.33,60,75,4.0,RU,1745434042
69,yellowknife,62.456,-114.3525,-4.69,58,75,5.14,CA,1745433965
70,bethel,41.3712,-73.414,23.02,30,0,2.68,US,1745434045
71,levuka,50.1834,-105.4011,8.85,37,20,2.57,CA,1745434046
72,grand forks,47.9417,-97.4337,8.85,65,100,7.2,US,1745434047
